Date,Close,High,Low,Open,Volume
2019-01-02,51264.05859375,52736.859375,50907.44921875,52736.859375,0
2019-01-03,51669.94140625,51870.8984375,51135.19921875,51264.05859375,0
2019-01-04,52202.94921875,52202.94921875,51654.19140625,51669.94140625,0
2019-01-07,51959.30078125,53199.03125,51813.73828125,52202.94921875,0
2019-01-08,52165.46875,52341.51953125,51959.30078125,51959.30078125,0
2019-01-09,53222.890625,53222.890625,52165.46875,52165.46875,0
2019-01-10,53271.01953125,53296.80078125,52798.75,53222.890625,0
2019-01-11,53653.37890625,53932.12890625,53271.01953125,53271.01953125,0
2019-01-14,53485.58984375,53653.37890625,53010.62109375,53653.37890625,0
2019-01-15,53533.5390625,53811.28125,53225.859375,53485.58984375,0
2019-01-16,53786.73828125,53786.73828125,53400.5390625,53533.5390625,0
2019-01-17,53436.2109375,53814.19140625,53115.96875,53786.73828125,0
2019-01-18,53731.5,53992.6484375,53436.2109375,53436.2109375,0
2019-01-21,54139.05078125,54238.078125,53731.5,53731.5,0
2019-01-22,54078.37109375,54139.05078125,53662.671875,54139.05078125,0
2019-01-23,53915.1484375,54078.37109375,53719.94140625,54078.37109375,0
2019-01-24,53639.08984375,53915.1484375,53435.33984375,53915.1484375,0
2019-01-25,54050.23046875,54221.69140625,53639.08984375,53639.08984375,0
2019-01-28,53767.46875,54173.37890625,53767.46875,54050.23046875,0
2019-01-29,54387.69921875,54504.5703125,53767.46875,53767.46875,0
2019-01-30,54131.671875,54426.94921875,53999.9609375,54387.69921875,0
2019-01-31,54156.75,54492.73046875,54100.55078125,54131.671875,0
2019-02-01,53930.140625,54242.421875,53733.58984375,54156.75,0
2019-02-04,53391.828125,54237.03125,53391.828125,53930.140625,0
2019-02-05,54209.41015625,54209.41015625,53391.828125,53391.828125,0
2019-02-06,54574.28125,54732.44921875,54209.41015625,54209.41015625,0
2019-02-07,53888.8515625,54574.28125,53631.80859375,54574.28125,0
2019-02-08,53244.1796875,54011.4609375,53244.1796875,53888.8515625,0
2019-02-11,53409.140625,53783.03125,53244.1796875,53244.1796875,0
2019-02-12,53960.51171875,54050.76171875,53409.140625,53409.140625,0
2019-02-13,54543.21875,54639.05859375,53781.37890625,53960.51171875,0
2019-02-14,54527.109375,54964.87890625,54372.01171875,54543.21875,0
2019-02-15,54628.41015625,54660.03125,53974.828125,54527.109375,0
2019-02-18,55259.98046875,55307.69921875,54628.41015625,54628.41015625,0
2019-02-19,55194.62109375,55489.58984375,54900.28125,55259.98046875,0
2019-02-20,55691.578125,56039.23046875,55188.9296875,55194.62109375,0
2019-02-21,55483.7890625,55839.19140625,55483.7890625,55691.578125,0
2019-02-22,55992.96875,56170.03125,55483.7890625,55483.7890625,0
2019-02-25,55878.19921875,56327.87890625,55878.19921875,55992.96875,0
2019-02-26,56242.80078125,56242.80078125,55657.859375,55878.19921875,0
2019-02-27,56297.94921875,56688.62890625,56109.73046875,56242.80078125,0
2019-02-28,56002.078125,56297.94921875,55828.7890625,56297.94921875,0
2019-03-01,56203.109375,56526.83984375,56002.078125,56002.078125,0
2019-03-04,56217.12890625,56847.12109375,56198.8515625,56203.109375,0
2019-03-05,55815.4296875,56541.5,55761.640625,56217.12890625,0
2019-03-06,56073.859375,56376.58984375,55815.4296875,55815.4296875,0
2019-03-07,55857.890625,56073.859375,55712.83984375,56073.859375,0
2019-03-08,55488.7890625,55857.890625,55401.51171875,55857.890625,0
2019-03-11,55580.6484375,55932.828125,55398.05859375,55488.7890625,0
2019-03-12,55699.80078125,55987.30859375,55245.87890625,55580.6484375,0
2019-03-13,55829.1015625,55932.6796875,55539.5390625,55699.80078125,0
2019-03-14,55789.44921875,56092.7890625,55595.80078125,55829.1015625,0
2019-03-15,56040.2109375,56380.5703125,55789.44921875,55789.44921875,0
2019-03-18,56769.859375,56869.140625,56040.2109375,56040.2109375,0
2019-03-19,56849.671875,57138.359375,56643.609375,56769.859375,0
2019-03-20,56145.671875,56849.671875,56145.671875,56849.671875,0
2019-03-22,56107.48046875,56433.37109375,55846.66015625,56145.671875,0
2019-03-25,55367.109375,56107.48046875,55144.23046875,56107.48046875,0
2019-03-26,55638.4296875,55707.51953125,55187.05078125,55367.109375,0
2019-03-27,56149.30078125,56576.26171875,55638.4296875,55638.4296875,0
2019-03-28,56059.5,56343.46875,56051.98046875,56149.30078125,0
2019-03-29,56462.55078125,56578.890625,56059.5,56059.5,0
2019-04-01,57109.640625,57317.76171875,56462.55078125,56462.55078125,0
2019-04-02,57158.0,57238.26953125,56856.80078125,57109.640625,0
2019-04-03,57926.01171875,58056.55078125,57158.0,57158.0,0
2019-04-04,57711.01953125,57926.01171875,57659.01171875,57926.01171875,0
2019-04-05,57776.359375,57978.69921875,57711.01953125,57711.01953125,0
2019-04-08,57985.78125,58101.73046875,57765.01953125,57776.359375,0
2019-04-09,57838.37109375,58164.01171875,57838.37109375,57985.78125,0
2019-04-10,58411.6484375,58411.6484375,57838.37109375,57838.37109375,0
2019-04-11,58186.19140625,58453.9296875,57887.96875,58411.6484375,0
2019-04-12,58405.30078125,58520.26171875,58069.2890625,58186.19140625,0
2019-04-15,58249.3515625,58405.30078125,58068.19921875,58405.30078125,0
2019-04-16,58902.640625,58943.96875,58249.3515625,58249.3515625,0
2019-04-17,58908.30859375,58951.9296875,58532.58984375,58902.640625,0
2019-04-18,59222.46875,59222.46875,58643.44921875,58908.30859375,0
2019-04-23,59544.80078125,59544.80078125,59039.3203125,59222.46875,0
2019-04-24,59102.6796875,59544.80078125,58785.1796875,59544.80078125,0
2019-04-25,58807.0703125,59102.6796875,58651.55859375,59102.6796875,0
2019-04-26,58894.19140625,58894.19140625,58505.48828125,58807.0703125,0
2019-04-29,58662.6796875,59012.078125,58561.578125,58894.19140625,0
2019-04-30,58528.3984375,58873.96875,58476.51171875,58662.6796875,0
2019-05-02,58743.55859375,58804.26953125,58527.12109375,58528.3984375,0
2019-05-03,59335.8984375,59365.0390625,58743.55859375,58743.55859375,0
2019-05-06,58712.828125,59335.8984375,58110.94921875,59335.8984375,0
2019-05-07,58043.6015625,58973.578125,58043.6015625,58712.828125,0
2019-05-09,56496.078125,58043.6015625,56496.078125,58043.6015625,0
2019-05-10,56780.75,57458.078125,56496.078125,56496.078125,0
2019-05-13,56373.6796875,57120.98828125,56202.55078125,56780.75,0
2019-05-14,56234.28125,56740.87109375,56234.28125,56373.6796875,0
2019-05-15,56043.2109375,56669.1796875,55373.7890625,56234.28125,0
2019-05-16,56537.71875,56636.62890625,55957.4609375,56043.2109375,0
2019-05-17,56183.2109375,56537.71875,55965.03125,56537.71875,0
2019-05-20,55616.96875,56183.2109375,55454.7890625,56183.2109375,0
2019-05-21,55523.94921875,55945.1015625,55439.55859375,55616.96875,0
2019-05-22,55231.05078125,55600.48046875,55223.05078125,55523.94921875,0
2019-05-23,54271.23828125,55231.05078125,54107.1796875,55231.05078125,0
2019-05-24,54423.55859375,54772.30078125,54271.23828125,54271.23828125,0
2019-05-27,54488.1484375,54748.75,54347.46875,54423.55859375,0
2019-05-28,54431.62890625,54791.44140625,54313.71875,54488.1484375,0
2019-05-29,54997.33984375,55075.8203125,54263.51953125,54431.62890625,0
2019-05-30,55700.58984375,55774.51953125,54997.33984375,54997.33984375,0
2019-05-31,55650.41015625,55700.58984375,55169.7890625,55700.58984375,0
2019-06-03,56286.30859375,56286.30859375,55650.41015625,55650.41015625,0
2019-06-04,56500.37890625,56562.73046875,55723.76171875,56286.30859375,0
2019-06-05,57073.37890625,57305.53125,56500.37890625,56500.37890625,0
2019-06-06,57090.53125,57360.9609375,56953.26953125,57073.37890625,0
2019-06-07,58099.83984375,58234.76953125,57090.53125,57090.53125,0
2019-06-10,58481.05078125,58626.0,58099.83984375,58099.83984375,0
2019-06-11,58767.62890625,58925.05078125,58481.05078125,58481.05078125,0
2019-06-12,58710.55078125,58793.12109375,58360.890625,58767.62890625,0
2019-06-13,58697.62890625,59001.9296875,58516.1796875,58710.55078125,0
2019-06-14,58193.78125,58809.76171875,57969.76953125,58697.62890625,0
2019-06-18,58629.08984375,58748.1484375,58193.78125,58193.78125,0
